CODGEO;REG;DEP;LIBGEO;Zone en vigueur depuis le 5 juillet 2024;Reclassement juillet 2024
58307;27;58;Vielmanay;C;Non
58308;27;58;Vignol;C;Non
58309;27;58;Villapourçon;C;Non
58310;27;58;Villiers-le-Sec;C;Non
58311;27;58;Ville-Langy;C;Non
58312;27;58;Villiers-sur-Yonne;C;Non
58313;27;58;Vitry-Laché;C;Non
59001;32;59;Abancourt;C;Non
59002;32;59;Abscon;B2;Non
59003;32;59;Aibes;C;Non
59004;32;59;Aix-en-Pévèle;C;Non
59005;32;59;Allennes-les-Marais;B2;Non
59006;32;59;Amfroipret;C;Non
59007;32;59;Anhiers;B2;Non
59008;32;59;Aniche;B2;Non
59009;32;59;Villeneuve-d'Ascq;B1;Non
59010;32;59;Anneux;C;Non
59011;32;59;Annullin;B2;Non
59012;32;59;Anor;C;Non
59013;32;59;Anstaing;B1;Non
59014;32;59;Anzin;B2;Non
59015;32;59;Arleux;B2;Non
59016;32;59;Armbouts-Cappel;B2;Non
59017;32;59;Armentières;B1;Non
59018;32;59;Arnèke;C;Non
59019;32;59;Artres;B2;Non
59021;32;59;Assevent;B2;Non
59022;32;59;Attiches;B2;Non
59023;32;59;Aubencheul-au-Bac;C;Non
59024;32;59;Auberchicourt;B2;Non
59025;32;59;Aubers;B2;Non
59026;32;59;Aubigny-au-Bac;B2;Non
59027;32;59;Aubry-du-Hainaut;B2;Non
59028;32;59;Auby;B2;Non
59029;32;59;Auchy-lez-Orchies;C;Non
59031;32;59;Audignies;C;Non
59032;32;59;Aulnoy-lez-Valenciennes;B2;Non
59033;32;59;Aulnoye-Aymeries;B2;Non
59034;32;59;Avelin;B2;Non
59035;32;59;Avesnelles;C;Non
59036;32;59;Avesnes-sur-Helpe;C;Non
59037;32;59;Avesnes-les-Aubert;C;Non
59038;32;59;Avesnes-le-Sec;B2;Non
59039;32;59;Awoingt;B2;Non
59041;32;59;Bachant;B2;Non
59042;32;59;Bachy;B2;Non
59043;32;59;Bailleul;B1;Non
59044;32;59;Baisieux;B1;Non
59045;32;59;Baives;C;Non
59046;32;59;Bambecque;C;Non
59047;32;59;Banteux;C;Non
59048;32;59;Bantigny;C;Non
59049;32;59;Bantouzelle;C;Non
59050;32;59;Bas-Lieu;C;Non
59051;32;59;La Bassée;B2;Non
59052;32;59;Bauvin;B2;Non
59053;32;59;Bavay;C;Non
59054;32;59;Bavinchove;C;Non
59055;32;59;Bazuel;C;Non
59056;32;59;Beaucamps-Ligny;B2;Non
59057;32;59;Beaudignies;C;Non
59058;32;59;Beaufort;C;Non
59059;32;59;Beaumont-en-Cambrésis;C;Non
59060;32;59;Beaurain;C;Non
59061;32;59;Beaurepaire-sur-Sambre;C;Non
