code postal;code INSEE;nom commune (Poste);nom commune (ACOSS); AOT;taux;SMT;taux additionnel
01250;01408;SIMANDRE SUR SURAN                    ;;;;;
01260;01409;SONGIEU                               ;;;;;
01580;01410;SONTHONNAX LA MONTAGNE                ;;;;;
01150;01411;SOUCLIN                               ;;;;;
01400;01412;SULIGNAT                              ;;;;;
01420;01413;SURJOUX                               ;;;;;
01260;01414;SUTRIEU                               ;;;;;
01510;01415;TALISSIEU                             ;;;;;
01230;01416;TENAY                                 ;;;;;
01110;01417;THEZILLIEU                            ;;;;;
01120;01418;THIL                                  ;THIL;COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0,6;;
01710;01419;THOIRY                                ;;;;;
01140;01420;THOISSEY                              ;;;;;
01230;01421;TORCIEU                               ;;;;;
01250;01422;TOSSIAT                               ;;;;;
01600;01423;TOUSSIEUX                             ;TOUSSIEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01390;01424;TRAMOYES                              ;TRAMOYES;COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0,6;;
01160;01425;LA TRANCLIERE                         ;;;;;
01370;01426;TREFFORT CUISIAT                      ;;;;;
01600;01427;TREVOUX                               ;TREVOUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01140;01428;VALEINS                               ;;;;;
01660;01429;VANDEINS                              ;VANDEINS;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01160;01430;VARAMBON                              ;;;;;
01150;01431;VAUX EN BUGEY                         ;;;;;
01270;01432;VERJON                                ;;;;;
01560;01433;VERNOUX                               ;;;;;
01330;01434;VERSAILLEUX                           ;;;;;
01210;01435;VERSONNEX                             ;;;;;
01170;01436;VESANCY                               ;;;;;
01560;01437;VESCOURS                              ;;;;;
01570;01439;VESINES                               ;;;;;
01430;01441;VIEU D IZENAVE                        ;;;;;
01260;01442;VIEU                                  ;;;;;
01330;01443;VILLARS LES DOMBES                    ;;;;;
01150;01444;VILLEBOIS                             ;;;;;
01270;01445;VILLEMOTIER                           ;;;;;
01480;01446;VILLENEUVE                            ;;;;;
01250;01447;VILLEREVERSURE                        ;;;;;
01200;01448;VILLES                                ;;;;;
01320;01449;VILLETTE SUR AIN                      ;;;;;
01800;01450;VILLIEU LOYES MOLLON                  ;;;;;
01440;01451;VIRIAT                                ;VIRIAT;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01510;01452;VIRIEU LE GRAND                       ;;;;;
01260;01453;VIRIEU LE PETIT                       ;;;;;
01300;01454;VIRIGNIN                              ;;;;;
01350;01456;VONGNES                               ;;;;;
01540;01457;VONNAS                                ;;;;;
02300;02001;ABBECOURT                             ;ABBECOURT;COMMUNAUTE DE COMMUNES CHAUNY;0,55;;
02800;02002;ACHERY                                ;;;;;
02200;02003;ACY                                   ;ACY;SITU SOISSONNAIS;0,6;;
02340;02004;AGNICOURT ET SECHELLES                ;;;;;
02190;02005;AGUILCOURT                            ;;;;;
02110;02006;AISONVILLE ET BERNOVILLE              ;;;;;
02820;02007;AIZELLES                              ;;;;;
02370;02008;AIZY JOUY                             ;;;;;
02240;02009;ALAINCOURT                            ;;;;;
02320;02010;ALLEMANT                              ;;;;;
02290;02011;AMBLENY                               ;;;;;
02200;02012;AMBRIEF                               ;;;;;
02190;02013;AMIFONTAINE                           ;;;;;
02700;02014;AMIGNY ROUY                           ;AMIGNY ROUY;COMMUNAUTE DE COMMUNES CHAUNY;0,55;;
02600;02015;ANCIENVILLE                           ;;;;;
02800;02016;ANDELAIN                              ;;;;;
02800;02017;ANGUILCOURT LE SART                   ;;;;;
02320;02018;ANIZY LE CHATEAU                      ;;;;;
02480;02019;ANNOIS                                ;;;;;
02500;02020;ANY MARTIN RIEUX                      ;;;;;
02360;02021;ARCHON                                ;;;;;
02130;02022;ARCY STE RESTITUE                     ;;;;;
02210;02023;ARMENTIERES SUR OURCQ                 ;;;;;
02860;02024;ARRANCY                               ;ARRANCY;COMMUNAUTE D'AGGLOMERATION DU PAYS DE LAON;0,25;;
02480;02025;ARTEMPS                               ;;;;;
02330;02026;ARTONGES                              ;;;;;
02270;02027;ASSIS SUR SERRE                       ;;;;;
02840;02028;ATHIES SOUS LAON                      ;ATHIES SOUS LAON;COMMUNAUTE D'AGGLOMERATION DU PAYS DE LAON;0,25;;
02490;02029;ATTILLY                               ;;;;;
02420;02030;AUBENCHEUL AUX BOIS                   ;;;;;
02500;02031;AUBENTON                              ;;;;;
02590;02032;AUBIGNY AUX KAISNES                   ;;;;;
02820;02033;AUBIGNY EN LAONNOIS                   ;;;;;
02300;02034;AUDIGNICOURT                          ;;;;;
02120;02035;AUDIGNY                               ;;;;;
02220;02036;AUGY                                  ;;;;;
02000;02037;AULNOIS SOUS LAON                     ;AULNOIS SOUS LAON;COMMUNAUTE D'AGGLOMERATION DU PAYS DE LAON;0,25;;
02360;02038;LES AUTELS                            ;;;;;
02250;02039;AUTREMENCOURT                         ;;;;;
02580;02040;AUTREPPES                             ;;;;;
02300;02041;AUTREVILLE                            ;AUTREVILLE;COMMUNAUTE DE COMMUNES CHAUNY;0,55;;
02400;02042;AZY SUR MARNE                         ;AZY SUR MARNE;CC DE LA REGION DE CHATEAU;0,6;;
02290;02043;BAGNEUX                               ;BAGNEUX;SITU SOISSONNAIS;0,6;;
02140;02044;BANCIGNY                              ;;;;;
02000;02046;BARENTON BUGNY                        ;;;;;
02000;02047;BARENTON CEL                          ;;;;;
02270;02048;BARENTON SUR SERRE                    ;;;;;
02700;02049;BARISIS                               ;;;;;
02170;02050;BARZY EN THIERACHE                    ;;;;;
02850;02051;BARZY SUR MARNE                       ;;;;;
02380;02052;BASSOLES AULERS                       ;;;;;
02330;02053;BAULNE EN BRIE                        ;;;;;
02220;02054;BAZOCHES SUR VESLES                   ;;;;;
02500;02055;BEAUME                                ;;;;;
02300;02056;BEAUMONT EN BEINE                     ;BEAUMONT EN BEINE;COMMUNAUTE DE COMMUNES CHAUNY;0,55;;
02110;02057;BEAUREVOIR                            ;;;;;
02160;02058;BEAURIEUX                             ;;;;;
02800;02059;BEAUTOR                               ;;;;;
02590;02060;BEAUVOIS EN VERMANDOIS                ;;;;;
02110;02061;BECQUIGNY                             ;;;;;
02400;02062;BELLEAU                               ;BELLEAU;CC DE LA REGION DE CHATEAU;0,6;;
02420;02063;BELLENGLISE                           ;;;;;
02200;02064;BELLEU                                ;BELLEU;SITU SOISSONNAIS;0,6;;
02420;02065;BELLICOURT                            ;;;;;
02440;02066;BENAY                                 ;;;;;
02450;02067;BERGUES SUR SAMBRE                    ;;;;;
02250;02068;BERLANCOURT                           ;;;;;
02340;02069;BERLISE                               ;;;;;
